2026-06-30 21:39:10.751 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-06-30 21:39:10.815 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 925 -> หลัง 0
2026-06-30 21:39:10.820 | SUCCESS  | src.data_pipeline.synchronizer:merge_cross_assets:38 - Final Synchronized Shape: (3654, 15)
2026-06-30 21:39:10.938 | SUCCESS  | __main__:main:48 - บันทึกข้อมูลเรียบร้อยที่: data/processed/base_synced_data.parquet
2026-06-30 22:17:04.825 | INFO     | __main__:main:13 - ==================================================
2026-06-30 22:17:04.825 | INFO     | __main__:main:14 - 🚀 Starting AlphaQuant-Gold [Phase 1-3]
2026-06-30 22:17:04.825 | INFO     | __main__:main:15 - ==================================================
2026-06-30 22:17:04.825 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 22:17:04.825 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading GC=F [15m] from 2026-05-01 to 2026-06-30
2026-06-30 22:17:06.789 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 22:17:06.789 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading DX-Y.NYB [15m] from 2026-05-01 to 2026-06-30
2026-06-30 22:17:07.305 | WARNING  | src.data_pipeline.yfinance_loader:fetch_data:11 - YFinance จำกัดข้อมูล 15m สูงสุด 60 วัน (ปรับอัตโนมัติจาก 365 -> 60)
2026-06-30 22:17:07.305 | INFO     | src.data_pipeline.yfinance_loader:fetch_data:17 - Downloading SI=F [15m] from 2026-05-01 to 2026-06-30
2026-06-30 22:17:07.782 | INFO     | src.data_pipeline.synchronizer:merge_cross_assets:11 - เริ่มกระบวนการ Cross-Asset Synchronization...
2026-06-30 22:17:07.789 | DEBUG    | src.data_pipeline.synchronizer:merge_cross_assets:37 - Missing Values Cleared: ก่อน 925 -> หลัง 0
2026-06-30 22:17:07.789 | SUCCESS  | src.data_pipeline.synchronizer:merge_cross_assets:38 - Final Synchronized Shape: (3657, 15)
